Sample_No,Date,Sample_Point,Town,Measure,Result,Units
622553,2017-07-14,ST_15319,Strathmore,E. coli,0,Orgs/100mL
611992,2017-04-13,PO_16767,Pontybridge,THM,0.049,mg/L
649602,2017-02-06,PA_11116,Paethsmouth,Turbidity,0.2,NTU
635891,2017-02-09,TA_13563,Tarnstead,Turbidity,0.3,NTU
609568,2017-02-08,WA_15184,Wakefield,E. coli,0,Orgs/100mL
653290,2017-02-09,SO_19426,Southwold,Turbidity,0.2,NTU
677362,2017-02-09,BE_13507,Bellmoral,Turbidity,0.4,NTU
611991,2017-02-09,PO_16870,Pontybridge,Turbidity,0.2,NTU
664085,2017-08-03,TA_11822,Tarnstead,E. coli,0,Orgs/100mL
657445,2017-08-03,ME_13530,Merton,Turbidity,0.05,NTU
612437,2017-08-03,SW_11438,Swadlincote,Turbidity,0.05,NTU
675284,2017-08-03,BE_16635,Bellmoral,Turbidity,0.05,NTU
615075,2017-07-20,SO_17043,Southwold,THM,0.006,mg/L
672543,2017-02-16,TA_12407,Tarnstead,Turbidity,0.1,NTU
629944,2018-12-28,TA_12407,Tarnstead,E. coli,0,Orgs/100mL
618873,2018-12-28,TA_12407,Tarnstead,Turbidity,0.1,NTU
671526,2017-04-24,PA_19973,Paethsmouth,E. coli,0,Orgs/100mL
683859,2017-04-21,PO_10333,Pontybridge,E. coli,0,Orgs/100mL
643005,2017-03-17,BE_12742,Bellmoral,E. coli,0,Orgs/100mL
619808,2017-03-16,WA_18499,Wakefield,THM,0.007,mg/L
605771,2017-03-17,ST_17970,Strathmore,E. coli,0,Orgs/100mL
655056,2017-03-17,ME_17891,Merton,E. coli,0,Orgs/100mL
638692,2017-03-17,ME_11431,Merton,E. coli,0,Orgs/100mL
648188,2017-03-17,SW_10279,Swadlincote,E. coli,0,Orgs/100mL
690277,2017-03-16,WA_18499,Wakefield,Turbidity,0.2,NTU
694904,2017-05-11,BL_14330,Blancathey,Turbidity,0.1,NTU
626538,2017-01-27,BL_14330,Blancathey,Turbidity,0.1,NTU
640095,2017-01-27,ST_17736,Strathmore,Turbidity,0.2,NTU
631955,2017-02-23,ST_15552,Strathmore,E. coli,0,Orgs/100mL
614128,2017-02-23,PO_16767,Pontybridge,E. coli,0,Orgs/100mL
630201,2017-02-22,WA_15101,Wakefield,E. coli,0,Orgs/100mL
646421,2017-02-23,BE_13422,Bellmoral,E. coli,0,Orgs/100mL
686642,2017-02-23,ME_15547,Merton,E. coli,0,Orgs/100mL
636325,2017-02-22,WA_15101,Wakefield,Turbidity,0.2,NTU
666540,2017-03-23,ST_10128,Strathmore,Turbidity,0.2,NTU
692882,2017-03-23,ST_10128,Strathmore,E. coli,0,Orgs/100mL
687233,2017-03-23,SW_17925,Swadlincote,E. coli,0,Orgs/100mL
626506,2017-03-23,TA_13563,Tarnstead,Turbidity,0.2,NTU
626818,2017-03-23,ME_17256,Merton,E. coli,0,Orgs/100mL
673913,2017-03-23,PO_16870,Pontybridge,Turbidity,0.1,NTU
632390,2017-03-20,PA_11469,Paethsmouth,THM,0.008,mg/L
686860,2017-03-23,SN_14788,Snake's Canyon,E. coli,0,Orgs/100mL
664312,2017-03-23,BE_15310,Bellmoral,Turbidity,0.2,NTU
650669,2017-03-08,WA_18008,Wakefield,E. coli,0,Orgs/100mL
637306,2017-03-09,ST_17003,Strathmore,E. coli,0,Orgs/100mL
696907,2017-03-09,TA_12407,Tarnstead,Turbidity,0.2,NTU
684721,2017-03-09,TA_12407,Tarnstead,E. coli,0,Orgs/100mL
612511,2017-03-23,SN_14788,Snake's Canyon,Turbidity,0.2,NTU
644072,2017-03-09,SN_14943,Snake's Canyon,Turbidity,0.2,NTU
640764,2017-03-09,SN_14943,Snake's Canyon,E. coli,0,Orgs/100mL
653654,2017-03-09,BE_17841,Bellmoral,E. coli,0,Orgs/100mL
647355,2017-03-09,BE_17841,Bellmoral,Turbidity,0.2,NTU
655722,2017-03-08,WA_18008,Wakefield,Turbidity,0.2,NTU
663037,2017-03-09,SW_18483,Swadlincote,Turbidity,0.2,NTU
695182,2017-03-09,ME_17893,Merton,E. coli,0,Orgs/100mL
669808,2017-03-09,SO_11580,Southwold,Turbidity,0.2,NTU
639026,2017-05-11,ST_17736,Strathmore,E. coli,0,Orgs/100mL
603817,2017-04-28,BL_14594,Blancathey,Turbidity,0.1,NTU
672945,2017-04-21,ST_19479,Strathmore,THM,0.008,mg/L
610033,2017-04-28,SN_15690,Snake's Canyon,Turbidity,0.1,NTU
689980,2017-06-16,ME_19934,Merton,E. coli,0,Orgs/100mL
615694,2017-07-14,SW_18483,Swadlincote,THM,0.007,mg/L
650056,2017-07-20,ME_17893,Merton,E. coli,0,Orgs/100mL
697927,2017-07-14,TA_12407,Tarnstead,THM,0.005,mg/L
605777,2017-07-14,SW_18483,Swadlincote,Turbidity,0.05,NTU
643082,2017-07-14,ST_15319,Strathmore,Turbidity,0.05,NTU
672372,2017-07-20,ME_19548,Merton,E. coli,0,Orgs/100mL
693087,2017-04-05,WA_13324,Wakefield,E. coli,0,Orgs/100mL
697926,2017-04-07,SO_14280,Southwold,E. coli,0,Orgs/100mL
692915,2017-04-07,ME_16148,Merton,E. coli,0,Orgs/100mL
646361,2017-04-07,TA_12407,Tarnstead,Turbidity,0.2,NTU
682356,2017-04-12,ME_19866,Merton,E. coli,0,Orgs/100mL
622488,2017-04-12,TA_12934,Tarnstead,E. coli,0,Orgs/100mL
635995,2017-04-13,PO_16767,Pontybridge,E. coli,0,Orgs/100mL
675180,2017-04-13,ST_15319,Strathmore,E. coli,0,Orgs/100mL
614284,2017-04-21,BL_13006,Blancathey,THM,0.066,mg/L
650629,2017-04-28,PO_10936,Pontybridge,Turbidity,0.05,NTU
631428,2017-02-09,SO_19426,Southwold,E. coli,0,Orgs/100mL
671664,2017-02-09,SO_19853,Southwold,E. coli,0,Orgs/100mL
677445,2017-02-09,ME_16507,Merton,E. coli,0,Orgs/100mL
663259,2017-07-14,SW_18483,Swadlincote,E. coli,0,Orgs/100mL
613111,2017-07-14,ME_19289,Merton,E. coli,0,Orgs/100mL
697854,2017-07-14,SO_19646,Southwold,E. coli,0,Orgs/100mL
666071,2017-07-14,SN_15690,Snake's Canyon,E. coli,0,Orgs/100mL
635866,2017-07-14,PO_16509,Pontybridge,E. coli,3,Orgs/100mL
612954,2017-07-13,WA_10025,Wakefield,Turbidity,0.05,NTU
650650,2017-07-17,PA_14206,Paethsmouth,E. coli,0,Orgs/100mL
604543,2017-08-24,SO_14280,Southwold,Turbidity,0.1,NTU
608654,2017-08-24,TA_11822,Tarnstead,Turbidity,0.2,NTU
676148,2017-08-24,SW_15649,Swadlincote,Turbidity,0.1,NTU
665497,2017-08-11,ST_10925,Strathmore,Turbidity,0.1,NTU
622168,2017-08-11,SO_11519,Southwold,Turbidity,0.1,NTU
609610,2017-05-11,TA_12407,Tarnstead,Turbidity,0.2,NTU
669272,2017-05-11,ME_19289,Merton,THM,0.006,mg/L
630409,2017-05-11,ST_15552,Strathmore,Turbidity,0.2,NTU
608721,2017-04-11,SN_14788,Snake's Canyon,E. coli,0,Orgs/100mL
684865,2017-05-11,SW_18483,Swadlincote,Turbidity,0.2,NTU
611176,2017-02-23,SW_15649,Swadlincote,THM,0.009,mg/L
655067,2017-03-09,BL_14330,Blancathey,E. coli,0,Orgs/100mL
633610,2017-03-09,ME_15640,Merton,Turbidity,0.2,NTU
689661,2017-03-09,ME_15640,Merton,E. coli,0,Orgs/100mL
687180,2017-03-09,BL_14330,Blancathey,Turbidity,0.1,NTU
671403,2017-02-23,TA_12934,Tarnstead,E. coli,0,Orgs/100mL
647024,2017-02-23,ST_16944,Strathmore,E. coli,0,Orgs/100mL
698070,2017-02-27,PA_14206,Paethsmouth,Turbidity,0.2,NTU
632368,2017-03-09,ME_19548,Merton,E. coli,0,Orgs/100mL
692364,2017-05-25,SO_11134,Southwold,E. coli,0,Orgs/100mL
619690,2017-05-25,SW_17925,Swadlincote,E. coli,0,Orgs/100mL
673060,2017-05-25,PO_16767,Pontybridge,Turbidity,0.1,NTU
645579,2017-05-25,TA_13563,Tarnstead,Turbidity,0.2,NTU
682689,2017-05-25,SO_11134,Southwold,Turbidity,0.2,NTU
669352,2017-05-25,ST_17003,Strathmore,Turbidity,0.2,NTU
691819,2017-05-25,BL_14330,Blancathey,E. coli,0,Orgs/100mL
657599,2017-05-25,TA_13563,Tarnstead,E. coli,0,Orgs/100mL
691700,2017-05-25,SN_14943,Snake's Canyon,E. coli,0,Orgs/100mL
672211,2017-05-25,PO_16767,Pontybridge,E. coli,0,Orgs/100mL
600659,2017-05-29,PA_11469,Paethsmouth,E. coli,0,Orgs/100mL
668896,2017-05-01,PA_14918,Paethsmouth,E. coli,0,Orgs/100mL
676735,2017-04-21,TA_13563,Tarnstead,Turbidity,0.1,NTU
656136,2017-04-20,WA_15101,Wakefield,Turbidity,0.1,NTU
669968,2017-04-28,SN_15690,Snake's Canyon,E. coli,0,Orgs/100mL
636185,2017-04-28,BE_13422,Bellmoral,E. coli,0,Orgs/100mL
645243,2017-04-28,BL_14594,Blancathey,E. coli,0,Orgs/100mL
671066,2017-04-21,ST_19479,Strathmore,Turbidity,0.05,NTU
692801,2017-04-24,PA_19973,Paethsmouth,Turbidity,0.1,NTU
663337,2017-04-21,PO_10333,Pontybridge,Turbidity,0.1,NTU
619012,2017-04-21,SN_11737,Snake's Canyon,Turbidity,0.1,NTU
697629,2017-04-28,TA_12407,Tarnstead,E. coli,0,Orgs/100mL
638653,2017-05-25,ST_17003,Strathmore,E. coli,0,Orgs/100mL
621701,2017-05-25,BE_12742,Bellmoral,E. coli,0,Orgs/100mL
659673,2017-06-22,SW_15649,Swadlincote,Turbidity,0.05,NTU
662907,2017-06-23,TA_13563,Tarnstead,Turbidity,0.05,NTU
641537,2017-07-20,ST_15552,Strathmore,THM,0.007,mg/L
695223,2017-06-29,TA_12407,Tarnstead,Turbidity,0.05,NTU
635858,2017-07-05,WA_15184,Wakefield,THM,0.007,mg/L
631944,2017-06-23,TA_13563,Tarnstead,THM,0.005,mg/L
654740,2017-07-06,SO_19853,Southwold,E. coli,0,Orgs/100mL
627461,2017-07-06,SW_18453,Swadlincote,E. coli,0,Orgs/100mL
636919,2017-06-22,BE_15094,Bellmoral,Turbidity,0.05,NTU
668978,2017-06-26,PA_11116,Paethsmouth,Turbidity,0.1,NTU
663932,2017-06-29,ST_19479,Strathmore,E. coli,0,Orgs/100mL
641969,2017-06-22,PO_16870,Pontybridge,Turbidity,0.05,NTU
650894,2017-06-30,SW_11069,Swadlincote,E. coli,0,Orgs/100mL
627199,2017-06-29,TA_12407,Tarnstead,E. coli,0,Orgs/100mL
677688,2017-06-23,ST_17736,Strathmore,Turbidity,0.05,NTU
656764,2017-06-23,SO_12799,Southwold,Turbidity,0.05,NTU
662420,2017-06-29,ST_16875,Strathmore,E. coli,0,Orgs/100mL
683414,2017-06-29,SO_19426,Southwold,E. coli,0,Orgs/100mL
651142,2017-07-06,ME_10188,Merton,Turbidity,0.05,NTU
695905,2017-07-20,ST_15552,Strathmore,E. coli,0,Orgs/100mL
656625,2017-07-14,BL_13006,Blancathey,Turbidity,0.05,NTU
672198,2017-06-30,PO_16767,Pontybridge,E. coli,0,Orgs/100mL
639968,2017-07-06,BE_18768,Bellmoral,E. coli,0,Orgs/100mL
630710,2017-06-01,PO_10936,Pontybridge,E. coli,0,Orgs/100mL
674611,2017-06-02,SO_11519,Southwold,E. coli,0,Orgs/100mL
627271,2017-06-01,PO_10936,Pontybridge,Turbidity,0.1,NTU
668369,2017-06-02,SN_11737,Snake's Canyon,E. coli,0,Orgs/100mL
664010,2017-06-02,SN_11737,Snake's Canyon,Turbidity,0.1,NTU
603910,2017-06-09,ST_17872,Strathmore,E. coli,0,Orgs/100mL
660549,2017-03-09,ST_13051,Strathmore,Turbidity,0.2,NTU
635087,2017-03-02,ST_17736,Strathmore,E. coli,0,Orgs/100mL
621758,2017-03-03,PO_16509,Pontybridge,Turbidity,0.1,NTU
648350,2017-03-14,PA_17652,Paethsmouth,E. coli,0,Orgs/100mL
635328,2017-03-09,BL_14330,Blancathey,THM,0.077,mg/L
635492,2017-03-09,BE_17841,Bellmoral,THM,0.008,mg/L
662500,2017-03-02,ME_14145,Merton,Turbidity,0.2,NTU
656796,2017-06-09,BE_16639,Bellmoral,E. coli,0,Orgs/100mL
698874,2017-06-09,PO_16509,Pontybridge,E. coli,0,Orgs/100mL
645029,2017-06-09,ME_12675,Merton,E. coli,0,Orgs/100mL
670900,2017-04-28,ME_10188,Merton,E. coli,0,Orgs/100mL
608939,2017-04-27,WA_17412,Wakefield,E. coli,0,Orgs/100mL
676024,2017-04-21,ME_16507,Merton,Turbidity,0.1,NTU
606026,2017-04-28,SO_13517,Southwold,E. coli,0,Orgs/100mL
672145,2017-04-28,ME_11992,Merton,E. coli,0,Orgs/100mL
644217,2017-04-28,PO_10936,Pontybridge,E. coli,0,Orgs/100mL
602130,2017-05-04,SO_10696,Southwold,E. coli,0,Orgs/100mL
686484,2017-05-04,BE_18768,Bellmoral,E. coli,0,Orgs/100mL
675541,2017-05-04,BL_11946,Blancathey,E. coli,0,Orgs/100mL
645659,2017-04-28,SW_11069,Swadlincote,E. coli,0,Orgs/100mL
665077,2017-05-04,PO_16509,Pontybridge,E. coli,0,Orgs/100mL
627841,2017-04-24,PA_19973,Paethsmouth,THM,0.005,mg/L
656467,2017-04-21,SO_19853,Southwold,Turbidity,0.1,NTU
615073,2017-04-21,SW_15649,Swadlincote,Turbidity,0.1,NTU
686297,2017-04-28,ST_11855,Strathmore,E. coli,0,Orgs/100mL
621598,2017-05-04,ME_15845,Merton,E. coli,0,Orgs/100mL
636930,2017-06-01,BE_16635,Bellmoral,Turbidity,0.1,NTU
625079,2017-06-02,ST_10925,Strathmore,E. coli,0,Orgs/100mL
680989,2017-04-28,SW_11069,Swadlincote,THM,0.006,mg/L
618299,2017-05-04,TA_11822,Tarnstead,E. coli,0,Orgs/100mL
643750,2017-06-16,ME_19866,Merton,Turbidity,0.1,NTU
632334,2017-06-15,WA_17864,Wakefield,E. coli,0,Orgs/100mL
600046,2017-06-01,BE_16635,Bellmoral,E. coli,0,Orgs/100mL
626198,2017-06-01,SW_11438,Swadlincote,E. coli,0,Orgs/100mL
690278,2017-06-02,ME_11496,Merton,E. coli,0,Orgs/100mL
660859,2017-06-02,TA_12407,Tarnstead,E. coli,0,Orgs/100mL
685568,2017-06-02,TA_12407,Tarnstead,Turbidity,0.1,NTU
657773,2017-06-01,SW_11438,Swadlincote,Turbidity,0.1,NTU
674877,2017-06-08,WA_12904,Wakefield,E. coli,0,Orgs/100mL
601270,2017-06-16,ME_19866,Merton,E. coli,0,Orgs/100mL
606617,2017-07-14,TA_12407,Tarnstead,E. coli,0,Orgs/100mL
606726,2017-06-16,BL_11946,Blancathey,Turbidity,0.1,NTU
606518,2017-06-09,ST_14989,Strathmore,E. coli,0,Orgs/100mL
669814,2017-06-09,SO_14753,Southwold,E. coli,0,Orgs/100mL
616217,2017-06-09,ME_16148,Merton,E. coli,0,Orgs/100mL
683887,2017-06-06,PA_16549,Paethsmouth,Turbidity,0.1,NTU
603354,2017-06-16,SW_12557,Swadlincote,E. coli,0,Orgs/100mL
683763,2017-07-19,WA_15101,Wakefield,E. coli,0,Orgs/100mL
605699,2017-07-14,BE_17841,Bellmoral,Turbidity,0.05,NTU
608001,2017-07-20,SW_10279,Swadlincote,E. coli,0,Orgs/100mL
677361,2017-07-14,SO_10696,Southwold,Turbidity,0.05,NTU
674394,2017-07-20,BL_14594,Blancathey,E. coli,0,Orgs/100mL
677303,2017-07-20,SO_17043,Southwold,E. coli,0,Orgs/100mL
678235,2017-07-14,TA_12407,Tarnstead,Turbidity,0.1,NTU
660170,2017-04-06,BE_16639,Bellmoral,Turbidity,0.2,NTU
681040,2017-04-06,SW_10554,Swadlincote,E. coli,0,Orgs/100mL
606708,2017-05-04,SN_14943,Snake's Canyon,E. coli,0,Orgs/100mL
699010,2017-05-04,ST_18680,Strathmore,E. coli,0,Orgs/100mL
649249,2017-04-06,BE_16639,Bellmoral,E. coli,0,Orgs/100mL
623165,2017-04-07,SN_14943,Snake's Canyon,E. coli,0,Orgs/100mL
663585,2017-04-06,SW_10554,Swadlincote,Turbidity,0.2,NTU
639950,2017-04-07,ST_14962,Strathmore,Turbidity,0.2,NTU
684349,2017-04-07,ST_14962,Strathmore,E. coli,0,Orgs/100mL
644828,2017-04-06,PO_16509,Pontybridge,Turbidity,0.2,NTU
675163,2017-04-13,ME_19919,Merton,E. coli,0,Orgs/100mL
613685,2017-08-17,BE_13507,Bellmoral,Turbidity,0.2,NTU
673044,2017-08-16,WA_17864,Wakefield,E. coli,0,Orgs/100mL
628051,2017-06-21,WA_18008,Wakefield,Turbidity,0.05,NTU
683644,2017-06-29,ME_16215,Merton,E. coli,0,Orgs/100mL
636799,2017-01-12,SO_17892,Southwold,E. coli,0,Orgs/100mL
684869,2017-01-12,ST_13895,Strathmore,E. coli,0,Orgs/100mL
622071,2017-01-12,SO_11519,Southwold,Turbidity,0.2,NTU
633719,2017-02-02,PO_10936,Pontybridge,Turbidity,0.2,NTU
639167,2017-02-02,ST_16875,Strathmore,E. coli,0,Orgs/100mL
612918,2017-02-02,ME_19934,Merton,E. coli,0,Orgs/100mL
682406,2017-06-19,PA_12021,Paethsmouth,E. coli,0,Orgs/100mL
636938,2017-01-23,PA_10485,Paethsmouth,Turbidity,0.2,NTU
650367,2017-06-15,WA_17864,Wakefield,THM,0.006,mg/L
646818,2017-06-16,TA_12934,Tarnstead,Turbidity,0.2,NTU
653358,2017-01-27,SW_11438,Swadlincote,Turbidity,0.2,NTU
611749,2017-06-19,PA_12021,Paethsmouth,THM,0.005,mg/L
604672,2017-06-16,BL_11946,Blancathey,THM,0.041,mg/L
658874,2017-02-02,BE_16639,Bellmoral,E. coli,0,Orgs/100mL
677518,2017-02-02,BE_16639,Bellmoral,Turbidity,0.2,NTU
643492,2017-02-01,WA_13324,Wakefield,Turbidity,0.2,NTU
686347,2017-06-16,BL_11946,Blancathey,E. coli,0,Orgs/100mL
655915,2017-06-16,ST_13895,Strathmore,E. coli,0,Orgs/100mL
617035,2017-06-16,ST_13895,Strathmore,Turbidity,0.1,NTU
611241,2017-06-09,ME_14356,Merton,THM,0.006,mg/L
634793,2017-06-21,WA_18008,Wakefield,E. coli,0,Orgs/100mL
656212,2017-07-20,BL_14594,Blancathey,THM,0.054,mg/L
658236,2017-07-26,WA_18499,Wakefield,E. coli,0,Orgs/100mL
611321,2017-07-24,PA_15033,Paethsmouth,E. coli,0,Orgs/100mL
655623,2017-04-21,SO_19426,Southwold,E. coli,0,Orgs/100mL
605228,2017-04-21,BL_13006,Blancathey,E. coli,0,Orgs/100mL
657153,2017-04-21,SN_11737,Snake's Canyon,E. coli,0,Orgs/100mL
645517,2017-01-03,PA_17652,Paethsmouth,E. coli,0,Orgs/100mL
654929,2017-04-13,BE_13507,Bellmoral,E. coli,0,Orgs/100mL
680565,2017-04-13,SO_18754,Southwold,E. coli,0,Orgs/100mL
677389,2018-01-02,PA_19684,Paethsmouth,E. coli,0,Orgs/100mL
688359,2017-04-11,SN_14788,Snake's Canyon,Turbidity,0.1,NTU
699713,2017-04-13,ST_18354,Strathmore,E. coli,0,Orgs/100mL
697024,2017-03-16,WA_18499,Wakefield,E. coli,0,Orgs/100mL
680039,2017-04-20,WA_15101,Wakefield,THM,0.008,mg/L
674397,2017-03-20,PA_11469,Paethsmouth,Turbidity,0.2,NTU
622378,2017-03-22,WA_10025,Wakefield,E. coli,0,Orgs/100mL
636811,2017-03-09,SO_11580,Southwold,THM,0.26814,mg/L
656235,2017-03-09,ME_15640,Merton,THM,0.008,mg/L
699449,2017-03-09,PO_10333,Pontybridge,THM,0.052,mg/L
664469,2017-06-09,SW_10554,Swadlincote,E. coli,0,Orgs/100mL
686961,2017-04-21,BL_13006,Blancathey,Turbidity,0.1,NTU
640044,2017-05-24,WA_18499,Wakefield,Turbidity,0.1,NTU
675684,2017-03-23,PO_16870,Pontybridge,E. coli,0,Orgs/100mL
626296,2017-03-23,SO_17892,Southwold,E. coli,0,Orgs/100mL
654244,2017-03-23,ME_11496,Merton,Turbidity,0.2,NTU
634442,2017-03-23,BE_15310,Bellmoral,E. coli,0,Orgs/100mL
618429,2017-03-23,SO_17892,Southwold,Turbidity,0.3,NTU
664521,2017-03-23,ME_11496,Merton,E. coli,0,Orgs/100mL
670150,2017-05-04,ST_18874,Strathmore,E. coli,0,Orgs/100mL
601335,2017-04-28,TA_12407,Tarnstead,Turbidity,0.1,NTU
661469,2017-03-09,PO_10333,Pontybridge,Turbidity,5.64,NTU
622791,2017-03-09,PO_10333,Pontybridge,E. coli,0,Orgs/100mL
658485,2017-06-16,PO_10333,Pontybridge,E. coli,0,Orgs/100mL
647139,2017-06-16,BE_13507,Bellmoral,Turbidity,0.2,NTU
685508,2017-08-10,BE_16639,Bellmoral,E. coli,0,Orgs/100mL
638428,2017-08-11,BL_14330,Blancathey,E. coli,0,Orgs/100mL
635255,2017-08-11,SO_11519,Southwold,E. coli,0,Orgs/100mL
662878,2017-08-10,SW_10554,Swadlincote,Turbidity,0.1,NTU
682598,2017-08-11,SN_14788,Snake's Canyon,E. coli,0,Orgs/100mL
616685,2017-08-11,ST_17970,Strathmore,E. coli,0,Orgs/100mL
624561,2017-07-20,ME_11431,Merton,E. coli,0,Orgs/100mL
665205,2017-08-14,PA_11469,Paethsmouth,Turbidity,0.2,NTU
607326,2017-07-20,ME_19548,Merton,Turbidity,0.3,NTU
648816,2017-07-20,BE_15310,Bellmoral,Turbidity,0.05,NTU
623245,2017-07-24,PA_15033,Paethsmouth,Turbidity,0.05,NTU
690737,2017-07-20,BL_14594,Blancathey,Turbidity,0.05,NTU
692190,2017-07-27,PO_16870,Pontybridge,E. coli,0,Orgs/100mL
670601,2017-07-27,SO_11580,Southwold,Turbidity,0.05,NTU
619515,2017-08-10,PO_10936,Pontybridge,Turbidity,0.1,NTU
629352,2017-08-11,ME_16148,Merton,E. coli,0,Orgs/100mL
640082,2017-07-19,WA_15101,Wakefield,Turbidity,0.2,NTU
621105,2017-07-20,SO_17043,Southwold,Turbidity,0.05,NTU
630100,2017-07-20,SN_14943,Snake's Canyon,Turbidity,0.1,NTU
677912,2017-07-20,TA_12934,Tarnstead,Turbidity,0.05,NTU
672985,2017-04-13,SO_12799,Southwold,E. coli,0,Orgs/100mL
605222,2017-03-17,BL_13006,Blancathey,E. coli,0,Orgs/100mL
666838,2017-03-17,ME_13530,Merton,E. coli,0,Orgs/100mL
648771,2017-03-17,SO_11134,Southwold,E. coli,0,Orgs/100mL
622561,2017-03-17,SO_11519,Southwold,E. coli,0,Orgs/100mL
698092,2017-03-17,SN_11737,Snake's Canyon,E. coli,0,Orgs/100mL
660806,2017-05-25,BE_12742,Bellmoral,Turbidity,0.1,NTU
642127,2017-02-23,SN_14943,Snake's Canyon,E. coli,0,Orgs/100mL
637225,2017-03-02,TA_11822,Tarnstead,E. coli,0,Orgs/100mL
665973,2017-03-02,TA_11822,Tarnstead,Turbidity,0.2,NTU
616574,2017-03-03,SW_18453,Swadlincote,Turbidity,0.2,NTU
692955,2017-03-03,SW_18453,Swadlincote,E. coli,0,Orgs/100mL
649627,2017-03-02,SO_17043,Southwold,Turbidity,0.2,NTU
669230,2017-05-25,BL_14330,Blancathey,Turbidity,0.1,NTU
643313,2017-03-02,ST_18354,Strathmore,Turbidity,0.2,NTU
623604,2017-02-27,PA_14206,Paethsmouth,E. coli,0,Orgs/100mL
626507,2017-03-09,ST_16139,Strathmore,E. coli,0,Orgs/100mL
689772,2017-04-05,WA_13324,Wakefield,Turbidity,0.2,NTU
617468,2017-04-06,PA_10485,Paethsmouth,E. coli,0,Orgs/100mL
691165,2017-04-06,PO_16509,Pontybridge,E. coli,0,Orgs/100mL
662548,2017-06-09,SO_17892,Southwold,E. coli,0,Orgs/100mL
694947,2017-06-09,ST_10128,Strathmore,E. coli,0,Orgs/100mL
696400,2017-03-17,ST_10925,Strathmore,THM,0.008,mg/L
681777,2017-03-23,TA_13563,Tarnstead,E. coli,0,Orgs/100mL
647015,2017-03-23,BL_14594,Blancathey,Turbidity,0.2,NTU
661061,2017-03-22,WA_10025,Wakefield,Turbidity,0.2,NTU
651880,2017-03-23,BL_14594,Blancathey,E. coli,0,Orgs/100mL
620461,2017-03-09,ST_13051,Strathmore,E. coli,0,Orgs/100mL
693252,2017-03-09,TA_12407,Tarnstead,THM,0.008,mg/L
609957,2017-03-09,SN_14943,Snake's Canyon,THM,0.043,mg/L
678781,2017-04-28,SO_13517,Southwold,Turbidity,0.1,NTU
665559,2017-05-04,BE_18768,Bellmoral,Turbidity,0.3,NTU
619576,2017-05-10,WA_18008,Wakefield,E. coli,0,Orgs/100mL
623278,2017-05-08,PA_14206,Paethsmouth,E. coli,0,Orgs/100mL
641794,2017-06-09,SN_14788,Snake's Canyon,E. coli,0,Orgs/100mL
667604,2017-06-09,ME_14356,Merton,E. coli,0,Orgs/100mL
681849,2017-05-04,PO_16509,Pontybridge,Turbidity,0.1,NTU
620697,2017-05-04,ST_18874,Strathmore,Turbidity,0.1,NTU
672809,2017-05-04,BL_11946,Blancathey,Turbidity,0.1,NTU
647989,2017-04-28,ST_14952,Strathmore,Turbidity,0.1,NTU
614882,2017-08-11,ST_10925,Strathmore,E. coli,0,Orgs/100mL
636612,2017-08-10,PO_10936,Pontybridge,E. coli,0,Orgs/100mL
693369,2017-04-07,BL_14330,Blancathey,E. coli,0,Orgs/100mL
695037,2017-05-03,WA_17864,Wakefield,E. coli,0,Orgs/100mL
684201,2017-04-28,SW_11069,Swadlincote,Turbidity,0.1,NTU
633015,2017-05-04,SN_14943,Snake's Canyon,Turbidity,0.2,NTU
688553,2017-04-28,ME_11992,Merton,Turbidity,0.1,NTU
644901,2017-05-04,SO_10696,Southwold,Turbidity,0.1,NTU
643423,2017-05-04,TA_11822,Tarnstead,Turbidity,0.1,NTU
622966,2017-05-11,BE_17841,Bellmoral,E. coli,0,Orgs/100mL
605470,2017-05-11,SO_19646,Southwold,E. coli,0,Orgs/100mL
652906,2017-05-03,WA_17864,Wakefield,Turbidity,0.2,NTU
641239,2017-05-08,PA_14206,Paethsmouth,Turbidity,0.1,NTU
688164,2017-05-11,ST_15552,Strathmore,E. coli,0,Orgs/100mL
619092,2017-05-11,PO_10333,Pontybridge,E. coli,0,Orgs/100mL
600238,2017-05-18,TA_12934,Tarnstead,Turbidity,0.2,NTU
648268,2017-05-17,WA_10025,Wakefield,THM,0.005,mg/L
667862,2017-06-13,PA_10485,Paethsmouth,Turbidity,0.1,NTU
662944,2017-09-11,PA_11116,Paethsmouth,Turbidity,0.05,NTU
660249,2017-09-14,BE_17841,Bellmoral,Turbidity,0.1,NTU
664267,2017-09-14,BE_17841,Bellmoral,E. coli,0,Orgs/100mL
673573,2017-09-14,ME_19289,Merton,E. coli,0,Orgs/100mL
624242,2017-09-14,SW_10279,Swadlincote,Turbidity,0.1,NTU
611757,2017-09-14,ME_15547,Merton,E. coli,0,Orgs/100mL
659588,2017-09-14,ST_11855,Strathmore,E. coli,0,Orgs/100mL
646287,2017-09-14,SO_19853,Southwold,Turbidity,0.1,NTU
603906,2017-09-14,SO_19853,Southwold,E. coli,0,Orgs/100mL
604167,2017-09-14,SN_15690,Snake's Canyon,Turbidity,0.1,NTU
699755,2017-09-14,ST_16875,Strathmore,E. coli,0,Orgs/100mL
621944,2017-09-14,SN_15690,Snake's Canyon,E. coli,0,Orgs/100mL
642231,2017-09-14,ST_16875,Strathmore,Turbidity,0.1,NTU
674069,2017-09-14,ME_15547,Merton,Turbidity,0.1,NTU
