V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,PID,psid,K2,project,gc,term,Q_TotalDuration,med,consent,city,tap,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,hardship,contact,trap,t01,t02,t03,t04,t05,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13
R_8v5HySrY2ytDgSF,Default Response Set,Anonymous,,,71.255.167.10,0,2015-03-19 10:22:55,2015-03-19 10:27:14,1,1275251429,iZXUO4qzTRSoEFx7SbWUoQ**,27197,Qual712-0618WaterUtilities,1,,259,19167028950673,1,3,1,2,5,4,7,7,2,6,1,7,6,1,1,1,7,3,4,3,6,4,6,4,5,4,6,4,4,2,4,7,4,4
R_1MufunByUbzR74p,Default Response Set,Anonymous,,,174.16.88.156,0,2015-03-19 10:28:55,2015-03-19 10:30:46,1,1079270002,iZXUO4qzTRSiTTIQ7oDFuQ**,27197,Qual712-0618WaterUtilities,1,,111,16221428102863,1,2,1,1,1,7,7,7,7,1,1,1,1,6,2,1,7,7,7,7,7,7,7,6,7,6,6,5,2,6,5,6,5,6
R_8bISLu9SripBKMl,Default Response Set,Anonymous,,,76.118.166.205,0,2015-03-19 10:28:20,2015-03-19 10:34:13,1,1277668610,iZXUO4qzTRT3Y1p2lWGQXA**,27197,Qual712-0618WaterUtilities,1,,353,19203359181103,1,3,1,1,1,7,7,7,4,4,4,4,4,4,1,1,7,7,6,7,7,4,6,4,7,4,7,4,4,6,4,4,4,4
R_eJQ8lYCPF7WZZnT,Default Response Set,Anonymous,,,75.82.251.182,0,2015-03-19 10:34:13,2015-03-19 10:34:28,1,1079323334,iZXUO4qzTRT2pkzBDNyHTg**,27197,Qual712-0618WaterUtilities,2,consent,15,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8HsQCDba2o3QWCF,Default Response Set,Anonymous,,,24.61.83.147,0,2015-03-19 10:31:50,2015-03-19 10:35:46,1,1277782429,iZXUO4qzTRQfee8YbnrqBw**,27197,Qual712-0618WaterUtilities,1,,236,19205069880673,1,3,1,1,1,7,7,7,4,4,2,4,4,4,1,1,7,6,6,6,3,6,7,4,6,6,6,4,6,6,6,7,6,6
R_2mLaBECS2fDUI5v,Default Response Set,Anonymous,,,75.128.51.173,0,2015-03-19 10:28:18,2015-03-19 10:37:17,1,1278618242,iZXUO4qzTRRjqMZIZ7Yc7w**,27197,Qual712-0618WaterUtilities,1,,539,19217632150063,1,1,1,1,1,7,7,7,5,4,6,4,6,4,1,1,7,6,4,5,4,4,4,4,7,4,4,4,4,4,4,4,4,4
R_6fMsOLIynNe26s5,Default Response Set,Anonymous,,,107.3.66.113,0,2015-03-19 10:37:00,2015-03-19 10:37:42,1,1278528958,iZXUO4qzTRQ1jUNrlc6Trg**,27197,Qual712-0618WaterUtilities,2,otherCity,42,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6maL9qXSaIQz5l3,Default Response Set,Anonymous,,,98.118.23.152,0,2015-03-19 10:36:57,2015-03-19 10:38:09,1,1254561650,iZXUO4qzTRS-7KGg1r0GJg**,27197,Qual712-0618WaterUtilities,2,attention,72,,1,3,1,1,4,4,4,7,4,4,4,4,4,4,1,0,,,,,,,,,,,,,,,,,,
R_42ZgNAK0bHDrRqZ,Default Response Set,Anonymous,,,173.55.90.178,0,2015-03-19 10:35:11,2015-03-19 10:39:20,1,1277283736,iZXUO4qzTRRbQ29hO40rKA**,27197,Qual712-0618WaterUtilities,1,,249,19197574524883,1,1,1,5,4,4,4,4,7,7,7,7,1,1,2,1,6,6,4,6,6,7,6,7,6,7,6,5,4,4,6,7,6,6
R_dj99tdfpkgnHClf,Default Response Set,Anonymous,,,24.8.114.139,0,2015-03-19 10:38:15,2015-03-19 10:41:33,1,1208748500,iZXUO4qzTRSXqNFV5s4oBQ**,27197,Qual712-0618WaterUtilities,1,,198,18167489927803,1,2,1,1,2,6,6,7,6,2,2,2,2,1,2,1,7,6,6,6,7,7,6,7,7,7,7,7,6,6,6,7,7,7
R_baagaKwQaVB4G8J,Default Response Set,Anonymous,,,72.244.63.203,0,2015-03-19 10:39:34,2015-03-19 10:42:10,1,1079216629,iZXUO4qzTRSgP1-RqhqTrA**,27197,Qual712-0618WaterUtilities,1,,156,16220625906673,1,2,1,1,1,7,7,7,6,4,1,4,3,4,1,1,7,7,7,7,7,4,7,4,7,4,7,4,4,4,4,4,4,4
R_b1R79XD2BfjZ7Dv,Default Response Set,Anonymous,,,209.6.148.78,0,2015-03-19 10:42:33,2015-03-19 10:44:31,1,1233241796,iZXUO4qzTRQ66OQYcQ1L7Q**,27197,Qual712-0618WaterUtilities,1,,118,18535624166683,1,3,1,1,1,7,7,7,5,3,1,3,2,1,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
R_9Sldip5IRRY7N1H,Default Response Set,Anonymous,,,172.56.38.132,0,2015-03-19 10:39:28,2015-03-19 10:44:50,1,1275723336,iZXUO4qzTRRcg1kAjxwLUg**,27197,Qual712-0618WaterUtilities,1,,322,19174121712883,1,1,1,6,5,5,5,6,7,5,4,7,6,2,1,1,7,6,6,7,4,7,7,7,5,6,7,7,6,7,6,6,5,7
R_efaATT0wvRBROrX,Default Response Set,Anonymous,,,70.209.193.174,0,2015-03-19 10:42:51,2015-03-19 10:46:47,1,1241602620,iZXUO4qzTRT8RFIF23YG6A**,27197,Qual712-0618WaterUtilities,1,,236,18661287351403,1,1,1,5,5,6,7,7,3,6,4,6,3,1,1,1,4,4,4,5,4,3,3,4,4,4,4,3,3,4,3,4,4,4
R_0fiw9NjMUcnyXat,Default Response Set,Anonymous,,,146.115.61.46,0,2015-03-19 10:47:17,2015-03-19 10:50:30,1,1079462480,iZXUO4qzTRRlJAbn2a_Zag**,27197,Qual712-0618WaterUtilities,1,,193,16224321047203,1,3,1,5,6,2,2,2,2,6,6,6,6,2,1,1,5,1,5,2,5,5,5,4,5,4,5,4,4,4,4,5,4,5
R_3z4x4kkj7FollFr,Default Response Set,Anonymous,,,107.2.212.79,0,2015-03-19 10:41:40,2015-03-19 10:50:42,1,1243149552,iZXUO4qzTRTgnh0RoKVDeA**,27197,Qual712-0618WaterUtilities,1,,542,18684537739363,1,2,1,1,4,4,7,7,5,2,2,4,4,1,1,1,6,5,4,3,4,4,5,4,5,4,4,4,4,5,4,1,5,4
R_d0Z8PMemA59EnOJ,Default Response Set,Anonymous,,,172.56.11.68,0,2015-03-19 10:49:21,2015-03-19 10:51:02,1,1258779960,iZXUO4qzTRSlfTiWfbumrw**,27197,Qual712-0618WaterUtilities,1,,101,18919462771603,1,3,1,7,7,1,1,1,5,7,7,7,7,2,2,1,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
R_6FooFC8wzCqFxD7,Default Response Set,Anonymous,,,70.57.227.73,0,2015-03-19 10:46:15,2015-03-19 10:51:53,1,1268718951,iZXUO4qzTRTVkBrCeKvcJw**,27197,Qual712-0618WaterUtilities,1,,338,19068845806333,1,1,1,3,4,5,6,6,4,4,4,5,4,2,2,1,7,5,7,4,7,7,7,7,7,7,7,6,7,7,7,7,6,6
R_089ITqfJ8KWmDRP,Default Response Set,Anonymous,,,71.177.229.74,0,2015-03-19 10:49:32,2015-03-19 10:52:20,1,1255164372,iZXUO4qzTRSqITlUfnoZfw**,27197,Qual712-0618WaterUtilities,1,,168,18865120483963,1,1,1,1,1,7,7,7,4,6,7,4,4,1,1,1,7,6,7,5,5,7,7,7,6,7,7,7,6,6,7,7,7,7
R_4Yge6acdg4jaKEd,Default Response Set,Anonymous,,,173.60.51.81,0,2015-03-19 10:53:14,2015-03-19 10:57:20,1,1278618321,iZXUO4qzTRQW33PCwOqwEA**,27197,Qual712-0618WaterUtilities,1,,246,19217633337433,1,1,1,1,1,7,7,1,7,3,2,4,1,1,2,1,7,7,7,5,7,7,6,6,6,6,6,6,4,7,6,7,4,7
R_djtE1sLBLJqkoyp,Default Response Set,Anonymous,,,71.110.46.78,0,2015-03-19 10:57:26,2015-03-19 10:58:16,1,1232141764,iZXUO4qzTRTyaeph9Pqw_Q**,27197,Qual712-0618WaterUtilities,2,attention,50,,1,1,1,2,2,2,6,7,6,2,2,2,2,5,2,0,,,,,,,,,,,,,,,,,,
R_2tcf6mYC2NdV7Ex,Default Response Set,Anonymous,,,71.211.130.19,0,2015-03-19 10:57:24,2015-03-19 10:59:40,1,1131853660,iZXUO4qzTRQP2x7zJCSunA**,27197,Qual712-0618WaterUtilities,1,,136,17011760482603,1,2,1,1,1,4,7,7,2,3,3,7,3,2,1,1,7,7,7,7,7,4,7,4,7,4,4,4,4,4,4,4,4,4
R_3Wbvk8ZjN1u2VkF,Default Response Set,Anonymous,,,172.56.39.137,0,2015-03-19 10:57:29,2015-03-19 11:01:01,1,1278487815,iZXUO4qzTRQC2FhdlUKzJw**,27197,Qual712-0618WaterUtilities,2,attention,212,,1,1,1,1,1,7,7,7,3,5,5,5,5,4,1,0,,,,,,,,,,,,,,,,,,
R_0HATfOTLsRhgVNz,Default Response Set,Anonymous,,,50.164.157.112,0,2015-03-19 10:57:17,2015-03-19 11:03:52,1,1277779188,iZXUO4qzTRTT7btEOd_ciA**,27197,Qual712-0618WaterUtilities,1,,395,19205021168443,1,3,1,1,1,6,7,7,1,4,5,7,4,4,1,1,7,5,7,2,6,6,7,7,5,4,6,6,6,3,7,7,4,6
R_cDch7oqbD7LXred,Default Response Set,Anonymous,,,166.171.184.93,0,2015-03-19 11:04:39,2015-03-19 11:05:15,1,1277585426,iZXUO4qzTRQS3FKCHwbbng**,27197,Qual712-0618WaterUtilities,2,noTapWater,36,,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_b26EKYQOcZlLpE9,Default Response Set,Anonymous,,,73.38.224.236,0,2015-03-19 10:53:49,2015-03-19 11:05:25,1,1277803749,iZXUO4qzTRTa8Zr4O0xpLw**,27197,Qual712-0618WaterUtilities,1,,696,19205390320273,1,3,1,1,4,7,7,7,4,4,4,4,4,1,1,1,6,3,3,2,6,4,4,4,4,4,4,4,4,2,4,6,6,5
R_cZIQpU7FgmTi5j7,Default Response Set,Anonymous,,,50.189.236.163,0,2015-03-19 11:01:38,2015-03-19 11:06:38,1,1225803830,iZXUO4qzTRT7gvKM1K6GKw**,27197,Qual712-0618WaterUtilities,1,,300,18423831537703,1,3,1,1,2,7,7,7,5,4,2,2,2,5,4,1,7,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6
R_a3jRbInJYQ2zVL7,Default Response Set,Anonymous,,,12.37.143.65,0,2015-03-19 11:04:55,2015-03-19 11:07:24,1,1227137091,iZXUO4qzTRT1MuNWWs1cKg**,27197,Qual712-0618WaterUtilities,1,,149,18443870450533,1,1,1,1,2,3,5,7,1,7,6,7,6,1,1,1,7,1,1,2,6,4,6,4,6,4,4,4,4,4,4,4,4,4
R_6hEXx2XbHjUnSMR,Default Response Set,Anonymous,,,98.245.219.141,0,2015-03-19 11:05:33,2015-03-19 11:09:37,1,1131970018,iZXUO4qzTRQGPXmHubv4YA**,27197,Qual712-0618WaterUtilities,1,,244,17013509343343,1,2,1,6,2,6,6,7,5,4,4,4,3,2,1,1,6,7,5,5,6,6,6,6,7,6,6,4,4,4,5,6,6,6
R_3eBogT0x2etSon3,Default Response Set,Anonymous,,,104.33.65.69,0,2015-03-19 11:07:22,2015-03-19 11:10:55,1,1268877755,iZXUO4qzTRSI_CpG0XxrYA**,27197,Qual712-0618WaterUtilities,2,attention,213,,1,1,1,1,1,7,7,7,7,1,1,1,1,2,1,0,,,,,,,,,,,,,,,,,,
R_5dWpjXNxfz6naM5,Default Response Set,Anonymous,,,190.233.69.233,0,2015-03-19 11:11:55,2015-03-19 11:12:13,1,1278136387,iZXUO4qzTRSPQdQFDSg2Fw**,27197,Qual712-0618WaterUtilities,2,otherCity,18,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_dj34KrmHiqlR6fP,Default Response Set,Anonymous,,,174.29.43.157,0,2015-03-19 11:11:06,2015-03-19 11:13:52,1,1106325590,iZXUO4qzTRSKN-Tyj0Se7A**,27197,Qual712-0618WaterUtilities,1,,166,16628073590503,1,2,1,1,2,6,5,7,5,4,3,4,3,1,2,1,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6
R_4SeH9onzVJdReEB,Default Response Set,Anonymous,,,70.192.38.181,0,2015-03-19 11:12:07,2015-03-19 11:14:24,1,1277801615,iZXUO4qzTRSho7QttrJ1yA**,27197,Qual712-0618WaterUtilities,1,,137,19205358246253,1,3,1,3,3,5,5,6,6,6,4,4,5,1,1,1,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4
R_5asP3dL6Haug7Xf,Default Response Set,Anonymous,,,96.41.116.76,0,2015-03-19 11:11:57,2015-03-19 11:14:36,1,1277810277,iZXUO4qzTRRlvWEvluj3ng**,27197,Qual712-0618WaterUtilities,1,,159,19205488436113,1,1,1,1,1,7,7,7,4,4,4,4,4,1,1,1,6,7,7,7,7,6,7,4,5,4,4,7,5,1,4,6,7,5
R_e9E4TysuSTONd3L,Default Response Set,Anonymous,,,65.175.217.43,0,2015-03-19 11:10:50,2015-03-19 11:14:57,1,1277381915,iZXUO4qzTRSfCC0RrW-NWQ**,27197,Qual712-0618WaterUtilities,1,,247,19199050155253,1,3,1,1,1,7,7,7,7,1,1,1,1,7,1,1,4,4,3,1,4,3,6,1,5,5,4,2,1,1,3,3,7,1
R_1zzLJUSDGm0fjy5,Default Response Set,Anonymous,,,67.176.9.217,0,2015-03-19 11:14:26,2015-03-19 11:16:22,1,1270597283,iZXUO4qzTRQeY3wJQ5QjlQ**,27197,Qual712-0618WaterUtilities,2,attention,116,,1,2,1,3,3,4,5,5,5,4,3,4,4,2,1,0,,,,,,,,,,,,,,,,,,
R_eWZxDEAEt3lrN0V,Default Response Set,Anonymous,,,71.196.169.76,0,2015-03-19 11:12:40,2015-03-19 11:17:06,1,1239213281,iZXUO4qzTRRCluVVbHsuSw**,27197,Qual712-0618WaterUtilities,1,,266,18625375586233,1,2,1,1,1,4,7,6,4,4,1,4,4,3,2,1,6,6,6,6,6,4,6,4,6,4,6,4,4,4,4,4,4,4
R_e5ImKcV1jwon9FX,Default Response Set,Anonymous,,,73.149.102.154,0,2015-03-19 11:16:00,2015-03-19 11:18:51,1,1263471747,iZXUO4qzTRSWntk-i9yeAw**,27197,Qual712-0618WaterUtilities,2,attention,171,,1,3,1,1,2,7,7,7,3,5,5,5,5,1,1,0,,,,,,,,,,,,,,,,,,
R_cOTIGk4JF9Obknb,Default Response Set,Anonymous,,,70.192.24.150,0,2015-03-19 11:18:47,2015-03-19 11:23:12,1,1277775317,iZXUO4qzTRSGJvvcNRVOYw**,27197,Qual712-0618WaterUtilities,1,,265,19204962987313,1,3,1,1,1,5,7,7,4,2,3,3,3,5,1,1,7,7,7,7,7,3,7,5,5,6,6,6,4,5,5,1,6,5
R_3QKHwYE3xJvVBit,Default Response Set,Anonymous,,,107.2.240.204,0,2015-03-19 11:23:40,2015-03-19 11:24:54,1,1275549105,iZXUO4qzTRR9WFWj_dhgoA**,27197,Qual712-0618WaterUtilities,2,attention,74,,1,2,1,4,4,4,5,4,4,4,4,4,4,4,2,0,,,,,,,,,,,,,,,,,,
R_79bMoEssk6M2NTf,Default Response Set,Anonymous,,,108.7.223.24,0,2015-03-19 11:22:34,2015-03-19 11:25:30,1,1264892691,iZXUO4qzTRRS7TGl3a-11g**,27197,Qual712-0618WaterUtilities,1,,176,19011337118533,1,3,1,1,1,7,7,7,5,5,1,3,1,1,1,1,7,6,6,3,6,4,6,4,5,4,6,4,4,4,4,6,4,6
R_74BPunTWKeeDTgN,Default Response Set,Anonymous,,,70.211.139.158,0,2015-03-19 11:26:15,2015-03-19 11:26:33,1,1274902997,iZXUO4qzTRRF-JWaZFMakg**,27197,Qual712-0618WaterUtilities,2,noTapWater,18,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_38e51doHDPLBNg9,Default Response Set,Anonymous,,,108.243.209.205,0,2015-03-19 11:22:15,2015-03-19 11:27:10,1,1147200022,iZXUO4qzTRTJzpoXs-BU5A**,27197,Qual712-0618WaterUtilities,1,,295,17242416303463,1,1,1,3,3,5,5,5,5,5,3,4,3,5,2,1,4,3,3,3,4,3,4,5,4,5,4,5,5,4,4,4,4,4
R_8bGxjxxzJlpevU9,Default Response Set,Anonymous,,,192.80.157.110,0,2015-03-19 11:29:33,2015-03-19 11:30:16,1,1261512913,iZXUO4qzTRSvmuqOE0ng5w**,27197,Qual712-0618WaterUtilities,2,attention,43,,1,1,1,3,3,4,5,6,5,4,3,6,6,6,6,0,,,,,,,,,,,,,,,,,,
R_8ewrRLwB6Q58F8N,Default Response Set,Anonymous,,,166.171.186.197,0,2015-03-19 11:25:40,2015-03-19 11:32:53,1,1277749695,iZXUO4qzTRQ6rO_9bop4Bw**,27197,Qual712-0618WaterUtilities,1,,433,19204577888653,1,3,1,4,4,4,4,4,7,7,7,7,7,1,1,1,7,7,3,5,6,4,6,4,6,4,4,4,4,3,4,4,4,4
R_0cCtfey5CeJz5KB,Default Response Set,Anonymous,,,50.133.145.54,0,2015-03-19 11:29:15,2015-03-19 11:33:36,1,1132068586,iZXUO4qzTRRTYN-yjo7lnw**,27197,Qual712-0618WaterUtilities,1,,261,17014990820383,1,3,1,1,1,6,7,7,6,3,1,4,2,4,1,1,5,4,5,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4
R_6hd0bq8iUWPp3xz,Default Response Set,Anonymous,,,174.16.82.88,0,2015-03-19 11:30:44,2015-03-19 11:33:59,1,1277748655,iZXUO4qzTRTmB3T_ATjt1A**,27197,Qual712-0618WaterUtilities,1,,195,19204562257453,1,2,1,1,1,7,7,7,1,7,4,7,7,1,1,1,7,6,5,5,7,4,4,4,4,4,7,4,4,4,4,2,4,5
R_5vVgNWISywAIb3f,Default Response Set,Anonymous,,,108.215.224.24,0,2015-03-19 11:18:52,2015-03-19 11:34:12,1,1208500211,iZXUO4qzTRRrwPHi1ETl_Q**,27197,Qual712-0618WaterUtilities,2,otherCity,920,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_etznzXrQnSaekfP,Default Response Set,Anonymous,,,172.5.245.180,0,2015-03-19 11:33:52,2015-03-19 11:37:49,1,1277896981,iZXUO4qzTRTpww_8NXkjZA**,27197,Qual712-0618WaterUtilities,1,,237,19206791597233,1,1,1,1,2,7,7,7,4,3,2,4,3,2,3,1,6,2,6,1,5,6,5,5,4,4,4,4,4,4,4,5,4,4
R_0poZyWeMfeeWvnT,Default Response Set,Anonymous,,,66.119.33.147,0,2015-03-19 11:34:44,2015-03-19 11:38:52,1,1275903842,iZXUO4qzTRQQCOGRg8xlfQ**,27197,Qual712-0618WaterUtilities,1,,248,19176834718063,1,2,1,2,3,6,6,6,5,5,4,5,4,4,2,1,4,4,5,4,5,5,5,4,4,5,4,5,5,4,5,5,5,5
R_25GtvKPYWO3FGHr,Default Response Set,Anonymous,,,172.56.23.171,0,2015-03-19 11:34:24,2015-03-19 11:39:34,1,1278619838,iZXUO4qzTRSB4osGhPESgg**,27197,Qual712-0618WaterUtilities,1,,310,19217656137943,1,3,1,4,2,7,7,6,6,3,2,6,2,4,1,1,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
R_1LeL2NL3WGW3wr3,Default Response Set,Anonymous,,,24.181.236.214,0,2015-03-19 11:37:00,2015-03-19 11:40:30,1,1122088849,iZXUO4qzTRSZsZ_Lx0ofcg**,27197,Qual712-0618WaterUtilities,1,,210,16864995373273,1,3,1,2,2,6,6,7,5,6,3,5,3,5,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
R_3sA06WfobWKkce1,Default Response Set,Anonymous,,,24.205.137.95,0,2015-03-19 11:42:24,2015-03-19 11:43:19,1,1259689272,iZXUO4qzTRTKfJen2KVWFw**,27197,Qual712-0618WaterUtilities,2,otherCity,55,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3Wq4VAEnc53RYsR,Default Response Set,Anonymous,,,209.6.227.55,0,2015-03-19 11:40:41,2015-03-19 11:43:40,1,1278121650,iZXUO4qzTRTfDEjnCzlW4w**,27197,Qual712-0618WaterUtilities,1,,179,19210168372303,1,3,1,1,1,7,7,7,1,7,1,7,7,1,1,1,7,7,7,7,7,4,7,4,7,4,7,4,4,4,4,4,4,4
R_8AM9n59q9tqC8Sh,Default Response Set,Anonymous,,,104.174.142.27,0,2015-03-19 11:43:35,2015-03-19 11:46:34,1,1079284153,iZXUO4qzTRQY2X3UB-5RXQ**,27197,Qual712-0618WaterUtilities,1,,179,16221640792393,1,1,1,3,3,5,4,6,4,4,6,4,4,1,2,1,5,3,3,2,4,4,5,5,5,5,5,5,5,4,5,5,5,5
R_8IhnBAnY7QHWFDv,Default Response Set,Anonymous,,,71.205.86.206,0,2015-03-19 11:42:12,2015-03-19 11:46:36,1,1272822225,iZXUO4qzTRSRmmAHjsbhSg**,27197,Qual712-0618WaterUtilities,2,attention,264,,1,2,1,5,3,5,6,6,4,5,7,7,6,2,1,0,,,,,,,,,,,,,,,,,,
R_3rX7Coar9Wlclzn,Default Response Set,Anonymous,,,67.215.250.149,0,2015-03-19 11:44:27,2015-03-19 11:46:46,1,1272654704,iZXUO4qzTRSL6eMPH00uuw**,27197,Qual712-0618WaterUtilities,1,,139,19128000173923,1,1,1,1,1,7,7,7,7,1,1,1,1,6,5,1,5,6,6,6,7,6,5,6,5,6,5,7,6,7,5,7,6,6
R_cA4RgqQ1RzOzLtH,Default Response Set,Anonymous,,,72.93.28.43,0,2015-03-19 11:40:43,2015-03-19 11:46:56,1,1278447237,iZXUO4qzTRS8ZxppetYgWg**,27197,Qual712-0618WaterUtilities,1,,373,19215061944913,1,3,1,1,1,6,7,7,6,3,1,3,3,4,2,1,7,5,7,7,6,5,7,4,7,6,7,4,6,4,4,5,4,5
R_0qa53p1OyucJCzH,Default Response Set,Anonymous,,,24.61.172.19,0,2015-03-19 11:52:32,2015-03-19 11:52:54,1,1079333565,iZXUO4qzTRTQFnG9u7lbEw**,27197,Qual712-0618WaterUtilities,2,otherCity,22,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2c9okGA72RUiJCt,Default Response Set,Anonymous,,,168.103.202.152,0,2015-03-19 11:47:12,2015-03-19 11:53:14,1,1239212014,iZXUO4qzTRQ7ir4fV6-TgQ**,27197,Qual712-0618WaterUtilities,1,,362,18625356543223,1,2,1,1,1,5,7,6,1,7,6,4,3,2,1,1,7,7,7,6,6,6,7,4,6,4,6,4,4,6,4,6,4,6
R_ekUEMU2KuIPEuZD,Default Response Set,Anonymous,,,72.74.65.71,0,2015-03-19 11:47:12,2015-03-19 11:53:36,1,1132188890,iZXUO4qzTRRPQ4TllB0Stg**,27197,Qual712-0618WaterUtilities,1,,384,17016798989503,1,3,1,1,2,4,7,7,3,6,4,6,7,1,1,1,7,7,7,3,7,6,6,5,6,5,6,4,4,5,4,6,4,6
R_cvRQHOL8lnK2s73,Default Response Set,Anonymous,,,50.177.26.102,0,2015-03-19 11:54:29,2015-03-19 11:55:38,1,1278623645,iZXUO4qzTRQoM1dA4FNYYQ**,27197,Qual712-0618WaterUtilities,2,attention,69,,1,3,1,4,4,4,4,3,2,6,4,4,4,1,1,0,,,,,,,,,,,,,,,,,,
R_cO99adLOWnaxJqt,Default Response Set,Anonymous,,,174.29.62.81,0,2015-03-19 11:52:46,2015-03-19 11:56:49,1,1094146291,iZXUO4qzTRRHAZ0EW6KPNw**,27197,Qual712-0618WaterUtilities,1,,243,16445018726533,1,2,1,1,1,7,7,7,3,5,3,4,5,1,1,1,6,6,7,4,7,4,3,1,5,5,3,2,3,1,2,4,4,3
R_doFlIeEEh5kdO8B,Default Response Set,Anonymous,,,174.51.4.108,0,2015-03-19 11:52:07,2015-03-19 11:57:38,1,1257271636,iZXUO4qzTRRg_gM0LQIYTQ**,27197,Qual712-0618WaterUtilities,1,,331,18896792661883,1,2,1,3,3,5,6,6,2,6,4,5,6,1,1,1,7,7,6,6,7,6,6,5,7,4,6,4,4,5,4,6,4,6
R_bNiWi08baRDwsxn,Default Response Set,Anonymous,,,104.35.89.131,0,2015-03-19 11:55:01,2015-03-19 11:58:38,1,1131922480,iZXUO4qzTRTlqnwTlCJ6wg**,27197,Qual712-0618WaterUtilities,1,,217,17012794847203,1,1,1,1,1,7,7,7,3,5,4,5,2,3,3,1,6,6,6,5,6,6,6,7,6,6,6,6,6,6,6,6,6,7
R_aVpnVG7crUWij53,Default Response Set,Anonymous,,,24.8.57.26,0,2015-03-19 11:57:22,2015-03-19 11:59:02,1,1171323284,iZXUO4qzTRQC2GK7re5LYg**,27197,Qual712-0618WaterUtilities,2,otherCity,100,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_883iKbHSZJKdxvT,Default Response Set,Anonymous,,,99.45.13.135,0,2015-03-19 11:58:23,2015-03-19 12:00:54,1,1079500637,iZXUO4qzTRTS92_gWxe-nA**,27197,Qual712-0618WaterUtilities,1,,151,16224894546913,1,1,1,1,1,7,7,7,7,1,1,1,1,1,2,1,6,7,7,6,7,7,6,6,7,6,7,7,6,6,7,7,7,7
R_dj7RrBjRCiRQRRX,Default Response Set,Anonymous,,,73.219.192.54,0,2015-03-19 12:01:31,2015-03-19 12:03:10,1,1277220985,iZXUO4qzTRRQvDiJgL_ewA**,27197,Qual712-0618WaterUtilities,2,attention,99,,1,3,1,1,4,6,7,7,3,4,4,6,4,2,1,0,,,,,,,,,,,,,,,,,,
R_1LaxLuhGutJxH8h,Default Response Set,Anonymous,,,71.57.153.74,0,2015-03-19 11:58:50,2015-03-19 12:03:19,1,1270749194,iZXUO4qzTRQhg4JXsqJabg**,27197,Qual712-0618WaterUtilities,1,,269,19099360358623,1,3,1,7,7,6,7,7,4,4,4,4,4,4,1,1,6,4,5,5,6,6,5,5,5,5,6,6,4,4,4,4,5,5
R_6PSmOPeqF39NUiN,Default Response Set,Anonymous,,,174.65.127.170,0,2015-03-19 11:47:15,2015-03-19 12:04:49,1,1277442119,iZXUO4qzTRSTlFSudySrFw**,27197,Qual712-0618WaterUtilities,2,noTapWater,1054,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3gWiAsPKh43yyRn,Default Response Set,Anonymous,,,75.83.246.152,0,2015-03-19 12:02:12,2015-03-19 12:05:04,1,1145446160,iZXUO4qzTRQVRmGEqTrcOA**,27197,Qual712-0618WaterUtilities,2,attention,172,,1,1,1,6,6,7,5,4,5,5,6,5,6,5,4,0,,,,,,,,,,,,,,,,,,
R_07EgnfFFsNEQyTX,Default Response Set,Anonymous,,,76.228.68.49,0,2015-03-19 12:01:57,2015-03-19 12:05:11,1,1277600076,iZXUO4qzTRQtTcJv6dv9gQ**,27197,Qual712-0618WaterUtilities,1,,194,19202329115083,1,1,1,1,4,4,7,7,4,4,4,4,4,1,2,1,7,4,6,4,6,6,7,7,7,5,7,6,6,4,7,7,6,6
R_eKSIzX8Lt7ctUvX,Default Response Set,Anonymous,,,50.183.144.135,0,2015-03-19 12:01:05,2015-03-19 12:06:58,1,1217867680,iZXUO4qzTRSVwDigia3iOA**,27197,Qual712-0618WaterUtilities,1,,353,18304551203203,1,2,1,1,1,5,7,7,4,4,3,4,3,1,1,1,7,5,4,5,7,5,4,4,4,4,4,4,4,3,3,5,4,4
